FG.name,Ligand,Cluster,AA.property,Atom.property,Size,Size.scaled,Reuse.Atom,Reuse.Residue,Reuse.All,Reuse.pvalue
2-Deoxyribose,DTP,cluster2,"[0.0, 0.0, 0.022222222222222223, 0.06666666666666667, 0.06111111111111111, 0.05, 0.1, 0.10555555555555556, 0.005555555555555556, 0.011111111111111112, 0.0, 0.011111111111111112, 0.07777777777777778, 0.011111111111111112, 0.09444444444444444, 0.08333333333333333, 0.09444444444444444, 0.0, 0.17222222222222222, 0.03333333333333333]","[0.17777777777777778, 0.08888888888888889, 0.13333333333333333, 0.28888888888888886, 0.19444444444444445, 0.11666666666666667, 0.0]",5.625,0.096858868,0.577670866,0.539955738,0.66618327,0.003867518
2-Deoxyribose,DUP,cluster2,"[0.0, 0.0, 0.0, 0.07, 0.0, 0.01, 0.12, 0.42, 0.03, 0.17, 0.0, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0, 0.06, 0.0, 0.1]","[0.06060606060606061, 0.0707070707070707, 0.10101010101010101, 0.12121212121212122, 0.5656565656565656, 0.08080808080808081, 0.0]",7.142857143,0.138294814,0.660527293,0.489020378,0.639520981,0.010955717
2-Deoxyribose,THM,cluster1,"[0.0, 0.0, 0.014035087719298246, 0.07368421052631578, 0.07368421052631578, 0.031578947368421054, 0.07017543859649122, 0.13333333333333333, 0.03508771929824561, 0.007017543859649123, 0.0035087719298245615, 0.06666666666666667, 0.010526315789473684, 0.007017543859649123, 0.02456140350877193, 0.04912280701754386, 0.17543859649122806, 0.02456140350877193, 0.14385964912280702, 0.056140350877192984]","[0.13309352517985612, 0.08633093525179857, 0.12589928057553956, 0.2589928057553957, 0.24820143884892087, 0.1474820143884892, 0.0]",15,0.35278677,0.659127436,0.553747586,0.701771546,0.000998842
2-Deoxyribose,TMP,cluster3,"[0.0, 0.0, 0.008620689655172414, 0.017241379310344827, 0.05747126436781609, 0.014367816091954023, 0.07758620689655173, 0.16666666666666666, 0.008620689655172414, 0.017241379310344827, 0.005747126436781609, 0.0028735632183908046, 0.034482758620689655, 0.005747126436781609, 0.017241379310344827, 0.14080459770114942, 0.10632183908045977, 0.040229885057471264, 0.20114942528735633, 0.07758620689655173]","[0.1781609195402299, 0.10632183908045977, 0.16091954022988506, 0.1867816091954023, 0.25, 0.11781609195402298, 0.0]",12,0.270889842,0.733356236,0.658141876,0.763328884,0.00026539
2-Deoxyribose,TTP,cluster2,"[0.0, 0.0, 0.023809523809523808, 0.03741496598639456, 0.047619047619047616, 0.02040816326530612, 0.0782312925170068, 0.1054421768707483, 0.0, 0.013605442176870748, 0.0, 0.013605442176870748, 0.030612244897959183, 0.017006802721088437, 0.023809523809523808, 0.2687074829931973, 0.11224489795918367, 0.030612244897959183, 0.1326530612244898, 0.04421768707482993]","[0.18027210884353742, 0.14285714285714285, 0.10204081632653061, 0.19727891156462585, 0.19727891156462585, 0.18027210884353742, 0.0]",8.909090909,0.186511188,0.65772116,0.472844033,0.649302434,0.007364775
2-Deoxyribose,TYD,cluster2,"[0.0, 0.0, 0.0, 0.02857142857142857, 0.10285714285714286, 0.011428571428571429, 0.2, 0.2057142857142857, 0.04, 0.11428571428571428, 0.0, 0.005714285714285714, 0.045714285714285714, 0.011428571428571429, 0.017142857142857144, 0.04, 0.08, 0.0, 0.03428571428571429, 0.06285714285714286]","[0.11428571428571428, 0.07428571428571429, 0.10285714285714286, 0.16, 0.45714285714285713, 0.09142857142857143, 0.0]",4.861111111,0.076005483,0.684388855,0.550724485,0.694528904,0.000899709
2-Deoxyribose,UMP,cluster2,"[0.0, 0.0, 0.0, 0.041935483870967745, 0.035483870967741936, 0.012903225806451613, 0.03870967741935484, 0.3161290322580645, 0.0, 0.02903225806451613, 0.0032258064516129032, 0.0, 0.00967741935483871, 0.02903225806451613, 0.00967741935483871, 0.14838709677419354, 0.041935483870967745, 0.04516129032258064, 0.07419354838709677, 0.16451612903225807]","[0.18387096774193548, 0.0967741935483871, 0.08709677419354839, 0.13548387096774195, 0.3967741935483871, 0.1, 0.0]",12.91666667,0.295913903,0.738175372,0.625161651,0.755473612,0.000203998
2-Methylheptane,Y01,cluster2,"[0.05673758865248227, 0.0, 0.014184397163120567, 0.11347517730496454, 0.19858156028368795, 0.07092198581560284, 0.2907801418439716, 0.07801418439716312, 0.09929078014184398, 0.0, 0.028368794326241134, 0.014184397163120567, 0.0, 0.014184397163120567, 0.0, 0.0, 0.02127659574468085, 0.0, 0.0, 0.0]","[0.025210084033613446, 0.0, 0.008403361344537815, 0.4369747899159664, 0.4789915966386555, 0.05042016806722689, 0.0]",12.81818182,0.293225368,NA,NA,NA,NA
"3,4-dimethyl-5-hydroxyethyl-Thiozolium",TDP,cluster2,"[0.0, 0.0, 0.0, 0.15228426395939088, 0.1065989847715736, 0.030456852791878174, 0.09137055837563451, 0.233502538071066, 0.0, 0.0, 0.0, 0.015228426395939087, 0.025380710659898477, 0.01015228426395939, 0.015228426395939087, 0.01015228426395939, 0.04060913705583756, 0.0, 0.0, 0.26903553299492383]","[0.07614213197969544, 0.06091370558375635, 0.07614213197969544, 0.30456852791878175, 0.4467005076142132, 0.03553299492385787, 0.0]",11.58823529,0.259649087,NA,NA,NA,NA
"3,5,7-Trihydroxy-4-chromone",QUE,cluster2,"[0.0, 0.0026041666666666665, 0.033854166666666664, 0.1171875, 0.12760416666666666, 0.08854166666666667, 0.203125, 0.033854166666666664, 0.0078125, 0.0, 0.0026041666666666665, 0.033854166666666664, 0.0234375, 0.0078125, 0.020833333333333332, 0.036458333333333336, 0.052083333333333336, 0.08333333333333333, 0.020833333333333332, 0.10416666666666667]","[0.05333333333333334, 0.06133333333333333, 0.06933333333333333, 0.432, 0.304, 0.08, 0.0]",18.28571429,0.442483407,NA,NA,NA,NA
3-Amino-3-deoxy-D-glucose,KAN,cluster3,"[0.0, 0.0, 0.00904977375565611, 0.02262443438914027, 0.00904977375565611, 0.01809954751131222, 0.05429864253393665, 0.167420814479638, 0.06787330316742081, 0.049773755656108594, 0.004524886877828055, 0.0, 0.013574660633484163, 0.00904977375565611, 0.049773755656108594, 0.19457013574660634, 0.18099547511312217, 0.0, 0.09954751131221719, 0.049773755656108594]","[0.18099547511312217, 0.14479638009049775, 0.14479638009049775, 0.1085972850678733, 0.25339366515837103, 0.167420814479638, 0.0]",14.73333333,0.345507043,NA,NA,NA,NA
"3-Hydroxyl-2,4-dimethylpyridine",PLR,cluster2,"[0.0, 0.0, 0.0, 0.029166666666666667, 0.029166666666666667, 0.0375, 0.020833333333333332, 0.175, 0.05, 0.07916666666666666, 0.025, 0.016666666666666666, 0.041666666666666664, 0.016666666666666666, 0.0625, 0.10833333333333334, 0.05416666666666667, 0.1375, 0.020833333333333332, 0.09583333333333334]","[0.1297071129707113, 0.09623430962343096, 0.1589958158995816, 0.18410041841004185, 0.25523012552301255, 0.17573221757322174, 0.0]",21.81818182,0.538916154,NA,NA,NA,NA
3-amino-2-hydroxy butyryl,BES,cluster3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.145, 0.38, 0.1, 0.0, 0.275]","[0.205, 0.22, 0.165, 0.0, 0.225, 0.185, 0.0]",14.28571429,0.333287502,NA,NA,NA,NA
"4,6-diamino-2-hydroxy-1,3-cyclohexane",KAN,cluster2,"[0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.28, 0.0, 0.06, 0.0, 0.0, 0.0, 0.12, 0.06, 0.2, 0.24, 0.0, 0.0, 0.0]","[0.28, 0.16, 0.1, 0.04, 0.26, 0.16, 0.0]",4.166666667,0.057047861,NA,NA,NA,NA
"4,6-dideoxy-4-amino-Glucose-Glucose",ACR,cluster3,"[0.0, 0.0, 0.013114754098360656, 0.003278688524590164, 0.029508196721311476, 0.022950819672131147, 0.10163934426229508, 0.17049180327868851, 0.2459016393442623, 0.05245901639344262, 0.0, 0.0, 0.0, 0.013114754098360656, 0.036065573770491806, 0.09508196721311475, 0.1180327868852459, 0.006557377049180328, 0.09180327868852459, 0.0]","[0.12131147540983607, 0.08196721311475409, 0.14426229508196722, 0.12459016393442623, 0.4065573770491803, 0.12131147540983607, 0.0]",12.2,0.276349637,NA,NA,NA,NA
4-Amino-2-methyl-Pyrimidine,TDP,cluster1,"[0.0, 0.0, 0.0, 0.11842105263157894, 0.10526315789473684, 0.0, 0.13815789473684212, 0.09868421052631579, 0.0, 0.006578947368421052, 0.0, 0.09210526315789473, 0.006578947368421052, 0.02631578947368421, 0.039473684210526314, 0.02631578947368421, 0.17763157894736842, 0.0, 0.08552631578947369, 0.07894736842105263]","[0.14383561643835616, 0.0821917808219178, 0.10273972602739725, 0.2602739726027397, 0.273972602739726, 0.136986301369863, 0.0]",9.5,0.202642401,NA,NA,NA,NA
"4-hydroxyl-2,3-dihydropyran",DAN,cluster2,"[0.0, 0.0, 0.0, 0.1984126984126984, 0.015873015873015872, 0.007936507936507936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007936507936507936, 0.0, 0.0, 0.373015873015873, 0.1111111111111111, 0.0, 0.2857142857142857, 0.0]","[0.2698412698412698, 0.18253968253968253, 0.11904761904761904, 0.31746031746031744, 0.0, 0.1111111111111111, 0.0]",7,0.13439496,NA,NA,NA,NA
5-Tetradecen,MPG,cluster2,"[0.0, 0.0, 0.0, 0.20454545454545456, 0.2727272727272727, 0.1590909090909091, 0.13636363636363635, 0.0, 0.045454545454545456, 0.06818181818181818, 0.022727272727272728, 0.045454545454545456, 0.0, 0.022727272727272728, 0.0, 0.0, 0.0, 0.0, 0.022727272727272728, 0.0]","[0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.6744186046511628, 0.18604651162790697, 0.06976744186046512, 0.0]",11,0.243590865,NA,NA,NA,NA
"5-acetamido-2,4-dihydroxy-Tetrahydropyran",SIA,cluster3,"[0.0, 0.0, 0.01384083044982699, 0.06920415224913495, 0.02422145328719723, 0.006920415224913495, 0.07958477508650519, 0.19377162629757785, 0.07612456747404844, 0.020761245674740483, 0.0, 0.010380622837370242, 0.010380622837370242, 0.02422145328719723, 0.03460207612456748, 0.13494809688581316, 0.09688581314878893, 0.01730103806228374, 0.16262975778546712, 0.02422145328719723]","[0.17708333333333334, 0.08333333333333333, 0.11458333333333333, 0.18055555555555555, 0.3229166666666667, 0.12152777777777778, 0.0]",13.76190476,0.318988038,NA,NA,NA,NA
6-Amino-6-deoxy-D-glucose,KAN,cluster1,"[0.0, 0.0, 0.0, 0.0462046204620462, 0.0231023102310231, 0.0231023102310231, 0.066006600660066, 0.22772277227722773, 0.033003300330033, 0.036303630363036306, 0.0033003300330033004, 0.013201320132013201, 0.006600660066006601, 0.009900990099009901, 0.013201320132013201, 0.16831683168316833, 0.20132013201320131, 0.0, 0.0891089108910891, 0.039603960396039604]","[0.2080536912751678, 0.1174496644295302, 0.11073825503355705, 0.12080536912751678, 0.2953020134228188, 0.1476510067114094, 0.0]",20.2,0.494741447,NA,NA,NA,NA
"7-methyl-7,8-dihydroguanine",M7G,cluster1,"[0.0, 0.0, 0.009950248756218905, 0.009950248756218905, 0.029850746268656716, 0.004975124378109453, 0.0945273631840796, 0.13930348258706468, 0.3283582089552239, 0.03980099502487562, 0.0, 0.029850746268656716, 0.01990049751243781, 0.0, 0.004975124378109453, 0.029850746268656716, 0.14925373134328357, 0.01990049751243781, 0.04975124378109453, 0.03980099502487562]","[0.09045226130653267, 0.08040201005025126, 0.11557788944723618, 0.12060301507537688, 0.4623115577889447, 0.1306532663316583, 0.0]",20.1,0.49201155,0.99648205,0.522605688,0.894907807,1.33E-10
"7-methyl-7,8-dihydroguanine",MGT,cluster3,"[0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0, 0.23423423423423423, 0.17117117117117117, 0.08108108108108109, 0.018018018018018018, 0.0, 0.009009009009009009, 0.02702702702702703, 0.009009009009009009, 0.07207207207207207, 0.04504504504504504, 0.0990990990990991, 0.07207207207207207, 0.09009009009009009, 0.04504504504504504]","[0.09009009009009009, 0.08108108108108109, 0.13513513513513514, 0.0990990990990991, 0.4774774774774775, 0.11711711711711711, 0.0]",22.2,0.5493394,0.99648205,0.522605688,0.894907807,1.33E-10
Acetamido group,A2G,cluster1,"[0.0, 0.0, 0.0, 0.05128205128205128, 0.008547008547008548, 0.01282051282051282, 0.05555555555555555, 0.16666666666666666, 0.05555555555555555, 0.14102564102564102, 0.0, 0.008547008547008548, 0.017094017094017096, 0.021367521367521368, 0.07264957264957266, 0.11965811965811966, 0.038461538461538464, 0.02564102564102564, 0.09401709401709402, 0.1111111111111111]","[0.12875536480686695, 0.14163090128755365, 0.15879828326180256, 0.13733905579399142, 0.2832618025751073, 0.15021459227467812, 0.0]",10.63636364,0.233663965,0.879153647,0.573480659,0.821835491,8.11E-07
Acetamido group,ASN,cluster1,"[0.0, 0.0, 0.0, 0.018518518518518517, 0.024691358024691357, 0.006172839506172839, 0.06790123456790123, 0.16049382716049382, 0.07407407407407407, 0.006172839506172839, 0.006172839506172839, 0.024691358024691357, 0.08024691358024691, 0.05555555555555555, 0.07407407407407407, 0.14814814814814814, 0.06172839506172839, 0.030864197530864196, 0.1111111111111111, 0.04938271604938271]","[0.25, 0.1125, 0.1, 0.14375, 0.275, 0.11875, 0.0]",12.46153846,0.283489369,0.788021081,0.596953415,0.805652933,3.03E-06
Acetamido group,AZM,cluster2,"[0.0, 0.0, 0.0, 0.015037593984962405, 0.09022556390977443, 0.07518796992481203, 0.05263157894736842, 0.18045112781954886, 0.17293233082706766, 0.022556390977443608, 0.0, 0.015037593984962405, 0.015037593984962405, 0.0, 0.21804511278195488, 0.05263157894736842, 0.05263157894736842, 0.015037593984962405, 0.022556390977443608, 0.0]","[0.06818181818181818, 0.07575757575757576, 0.16666666666666666, 0.2196969696969697, 0.3409090909090909, 0.12878787878787878, 0.0]",11.08333333,0.24586578,0.847471907,0.458868213,0.764219464,5.65E-06
Acetamido group,DAN,cluster3,"[0.0, 0.0, 0.012903225806451613, 0.11612903225806452, 0.012903225806451613, 0.03225806451612903, 0.09032258064516129, 0.12903225806451613, 0.12258064516129032, 0.09032258064516129, 0.0, 0.05806451612903226, 0.0, 0.05161290322580645, 0.025806451612903226, 0.16129032258064516, 0.025806451612903226, 0.0, 0.07096774193548387, 0.0]","[0.1568627450980392, 0.0392156862745098, 0.0915032679738562, 0.20915032679738563, 0.3137254901960784, 0.1895424836601307, 0.0]",8.157894737,0.166004301,0.783788659,0.53941036,0.776921959,2.52E-06
Acetamido group,NAG,cluster1,"[0.0, 0.0, 0.008620689655172414, 0.012315270935960592, 0.017241379310344827, 0.011083743842364532, 0.07142857142857142, 0.1477832512315271, 0.24876847290640394, 0.038177339901477834, 0.0, 0.011083743842364532, 0.022167487684729065, 0.024630541871921183, 0.05665024630541872, 0.06280788177339902, 0.07512315270935961, 0.019704433497536946, 0.06527093596059114, 0.10714285714285714]","[0.12237330037082818, 0.09023485784919653, 0.13967861557478367, 0.11248454882571075, 0.43016069221260816, 0.10506798516687268, 0.0]",13.76271186,0.319010071,0.869298304,0.617842751,0.830156815,4.97E-07
Acetamido group,NDG,cluster1,"[0.0, 0.0, 0.0, 0.03608247422680412, 0.010309278350515464, 0.03608247422680412, 0.04639175257731959, 0.08762886597938144, 0.16494845360824742, 0.06701030927835051, 0.0, 0.020618556701030927, 0.041237113402061855, 0.020618556701030927, 0.041237113402061855, 0.07731958762886598, 0.10824742268041238, 0.0, 0.15979381443298968, 0.08247422680412371]","[0.14507772020725387, 0.10362694300518134, 0.17098445595854922, 0.16580310880829016, 0.2849740932642487, 0.12953367875647667, 0.0]",12.125,0.274302214,0.896444069,0.597293818,0.840510905,3.56E-07
Acetic acid,AKG,cluster1,"[0.0, 0.0, 0.0028735632183908046, 0.04597701149425287, 0.09267241379310345, 0.040948275862068964, 0.10344827586206896, 0.14942528735632185, 0.05675287356321839, 0.04382183908045977, 0.0014367816091954023, 0.013649425287356323, 0.05747126436781609, 0.035919540229885055, 0.005747126436781609, 0.005028735632183908, 0.009339080459770116, 0.08045977011494253, 0.23132183908045978, 0.023706896551724137]","[0.15162454873646208, 0.02527075812274368, 0.1624548736462094, 0.311913357400722, 0.2808664259927798, 0.06787003610108304, 0.0]",13.92,0.323303876,0.810549157,0.588890209,0.80166602,1.62E-05
Acetic acid,CIT,cluster1,"[0.0, 0.0, 0.019966722129783693, 0.011647254575707155, 0.059900166389351084, 0.021630615640599003, 0.051580698835274545, 0.08485856905158069, 0.016638935108153077, 0.048252911813643926, 0.0016638935108153079, 0.028286189683860232, 0.048252911813643926, 0.03161397670549085, 0.028286189683860232, 0.03161397670549085, 0.08652246256239601, 0.07154742096505824, 0.22961730449251247, 0.1281198003327787]","[0.16666666666666666, 0.07407407407407407, 0.2037037037037037, 0.24074074074074073, 0.1936026936026936, 0.12121212121212122, 0.0]",6.988372093,0.13407753,0.725339659,0.717624111,0.805565184,2.05E-05
Acetic acid,FLC,cluster2,"[0.0, 0.0024630541871921183, 0.009852216748768473, 0.007389162561576354, 0.03201970443349754, 0.046798029556650245, 0.07142857142857142, 0.10344827586206896, 0.03201970443349754, 0.07389162561576355, 0.0049261083743842365, 0.04433497536945813, 0.07389162561576355, 0.034482758620689655, 0.009852216748768473, 0.05172413793103448, 0.034482758620689655, 0.07142857142857142, 0.16995073891625614, 0.12561576354679804]","[0.16927083333333334, 0.0859375, 0.16666666666666666, 0.20572916666666666, 0.2526041666666667, 0.11979166666666667, 0.0]",7.25,0.141219704,0.760942895,0.714662598,0.82314664,6.21E-05
Acetic acid,ICT,cluster2,"[0.0, 0.0, 0.0, 0.0, 0.03296703296703297, 0.01098901098901099, 0.0, 0.31868131868131866, 0.02197802197802198, 0.0989010989010989, 0.01098901098901099, 0.03296703296703297, 0.0, 0.04395604395604396, 0.0, 0.054945054945054944, 0.08791208791208792, 0.054945054945054944, 0.15384615384615385, 0.07692307692307693]","[0.17777777777777778, 0.1, 0.16666666666666666, 0.1, 0.3333333333333333, 0.12222222222222222, 0.0]",10.11111111,0.219325109,0.645608935,0.535847745,0.694844902,0.001100903
Acetic acid,LMR,cluster1,"[0.0, 0.0, 0.016666666666666666, 0.022222222222222223, 0.06111111111111111, 0.08333333333333333, 0.03888888888888889, 0.11666666666666667, 0.03888888888888889, 0.1111111111111111, 0.0, 0.027777777777777776, 0.044444444444444446, 0.03888888888888889, 0.005555555555555556, 0.016666666666666666, 0.06111111111111111, 0.12222222222222222, 0.1, 0.09444444444444444]","[0.11688311688311688, 0.07142857142857142, 0.16233766233766234, 0.2597402597402597, 0.24675324675324675, 0.14285714285714285, 0.0]",15,0.35278677,0.788474331,0.633037364,0.81275682,1.68E-06
Acetic acid,MLI,cluster2,"[0.0, 0.0, 0.0, 0.027906976744186046, 0.06511627906976744, 0.018604651162790697, 0.05116279069767442, 0.08372093023255814, 0.013953488372093023, 0.07441860465116279, 0.0, 0.027906976744186046, 0.06046511627906977, 0.04186046511627907, 0.07906976744186046, 0.027906976744186046, 0.023255813953488372, 0.027906976744186046, 0.22325581395348837, 0.15348837209302327]","[0.16981132075471697, 0.09905660377358491, 0.2169811320754717, 0.2169811320754717, 0.2169811320754717, 0.08018867924528301, 0.0]",10.23809524,0.222791645,0.825770585,0.640291317,0.820130013,1.20E-05
Acetic acid,PGA,cluster2,"[0.0, 0.0, 0.0076045627376425855, 0.08365019011406843, 0.07604562737642585, 0.0038022813688212928, 0.022813688212927757, 0.019011406844106463, 0.0076045627376425855, 0.053231939163498096, 0.0038022813688212928, 0.0076045627376425855, 0.026615969581749048, 0.011406844106463879, 0.0038022813688212928, 0.053231939163498096, 0.19771863117870722, 0.17110266159695817, 0.06463878326996197, 0.18631178707224336]","[0.13409961685823754, 0.10727969348659004, 0.18007662835249041, 0.27586206896551724, 0.14559386973180077, 0.15708812260536398, 0.0]",17.53333333,0.421944177,0.642768736,0.33188633,0.66940666,0.001187838
Acetic acid(01),CIT,cluster2,"[0.0, 0.0, 0.009302325581395349, 0.03255813953488372, 0.023255813953488372, 0.021395348837209303, 0.08651162790697674, 0.07534883720930233, 0.022325581395348838, 0.06976744186046512, 0.0074418604651162795, 0.008372093023255815, 0.05023255813953489, 0.03162790697674418, 0.025116279069767444, 0.06511627906976744, 0.046511627906976744, 0.0641860465116279, 0.17209302325581396, 0.1888372093023256]","[0.1501865671641791, 0.1044776119402985, 0.17164179104477612, 0.1837686567164179, 0.2789179104477612, 0.11100746268656717, 0.0]",11.55913978,0.258854809,0.645637779,0.702693577,0.767255268,0.001030459
Acetic acid(01),FLC,cluster1,"[0.0, 0.0, 0.011283497884344146, 0.02538787023977433, 0.02679830747531735, 0.01692524682651622, 0.05923836389280677, 0.08744710860366714, 0.03526093088857546, 0.05077574047954866, 0.004231311706629055, 0.009873060648801129, 0.039492242595204514, 0.045133991537376586, 0.03385049365303244, 0.06488011283497884, 0.05218617771509168, 0.03244005641748942, 0.231311706629055, 0.17348377997179126]","[0.16986706056129985, 0.11078286558345643, 0.18168389955686853, 0.18906942392909898, 0.25258493353028066, 0.09601181683899557, 0.0]",12.43859649,0.282863077,0.684469197,0.730925745,0.790573305,0.000332539
Acetic acid(01),ICT,cluster1,"[0.0, 0.0, 0.03333333333333333, 0.03333333333333333, 0.11666666666666667, 0.0, 0.0, 0.0, 0.03333333333333333, 0.18333333333333332, 0.0, 0.0, 0.16666666666666666, 0.1, 0.05, 0.0, 0.0, 0.0, 0.2, 0.08333333333333333]","[0.23333333333333334, 0.08333333333333333, 0.16666666666666666, 0.35, 0.05, 0.11666666666666667, 0.0]",7.5,0.148044448,0.347545712,0.486532806,0.580695897,0.001362998
